X79a	X85a	X89a	X84a	X48a	X82a	X34a	X27a	X21a	X16a	X60a	X62a	X63a	X67c	X65c	X39c	X10c	X44c	X78c	X76c
ZFPL1	8	0	4	2	1	11	3	3	9	4	3	16	4	2	1	2	2	2	2	10
ZFPM1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZFPM2	265	59	117	135	30	79	58	126	409	108	160	46	254	279	214	325	135	123	259	211
ZFPM2-AS1	36	13	0	0	0	27	0	4	182	68	6	35	2	39	43	55	3	17	11	16
ZFR	1492	600	512	451	294	720	623	692	1109	981	1133	1059	947	783	927	1315	411	784	704	1039
ZFR2	23	33	6	17	5	4	27	18	14	25	22	59	10	26	12	16	20	10	18	36
ZFX	135	160	145	80	72	55	155	276	141	243	537	358	244	102	117	209	84	155	152	65
ZFX-AS1	0	0	1	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	8
ZFY	87	0	57	0	16	68	0	46	105	70	0	22	35	110	96	39	36	0	0	60
ZFYVE1	103	49	82	49	46	70	49	129	135	141	154	140	71	43	136	160	74	94	67	110
ZFYVE16	583	269	210	80	125	212	184	354	352	447	500	794	252	356	369	352	102	253	141	276
ZFYVE19	41	47	10	13	16	46	37	34	38	56	57	46	9	17	36	23	36	15	38	44
ZFYVE21	51	111	149	15	62	65	144	172	181	133	140	123	47	61	73	80	25	114	54	69
ZFYVE26	158	161	153	24	29	44	68	122	100	87	122	63	136	66	39	51	90	73	57	11
ZFYVE27	84	75	47	20	19	30	51	44	104	80	49	117	61	63	78	86	58	52	61	95
ZFYVE28	217	61	40	43	33	76	51	279	232	164	131	53	159	92	154	134	106	67	192	155
ZFYVE9	1612	440	265	269	277	509	353	599	1489	1193	1060	1217	762	1115	1314	1186	471	586	945	1513
ZG16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZG16B	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ZGLP1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	4	0	1	0	0
ZGPAT	2	0	0	0	0	0	3	1	1	1	1	0	3	1	3	4	2	1	3	4
ZGRF1	53	10	38	7	18	4	26	79	49	23	33	97	13	85	16	43	24	48	17	20
ZHX1	847	681	286	166	151	403	320	612	863	579	708	737	414	568	665	675	312	424	627	877
ZHX1-C8orf76	67	13	27	11	9	14	16	12	45	30	53	38	40	26	32	27	15	11	24	22
ZHX2	50	57	153	41	33	68	162	215	24	209	233	200	86	31	9	25	95	73	2	17
ZHX3	248	205	285	70	105	199	542	322	278	398	430	399	228	172	212	399	282	275	154	202
ZIC1	15	96	118	12	119	93	174	100	22	333	204	175	76	44	6	74	17	45	10	6
ZIC2	4	2	9	3	2	17	14	1	5	51	34	41	0	5	9	51	8	1	4	0
ZIC3	1	6	10	2	18	18	32	23	0	18	3	11	6	2	0	0	3	4	0	0
ZIC4	7	78	52	3	24	2	10	45	7	28	34	87	10	11	1	42	5	51	3	1
ZIC5	0	0	2	0	3	0	2	7	0	14	6	0	1	13	0	1	1	18	0	11
ZIK1	51	20	11	8	9	2	7	1	23	18	64	47	17	13	21	24	6	12	28	7
ZIM2	111	70	25	18	81	50	43	52	98	154	102	118	85	62	84	96	80	62	63	94
ZIM2-AS1	44	1	0	10	6	1	4	19	68	10	52	61	9	33	34	25	11	29	54	6
ZIM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZKSCAN1	1049	556	607	223	262	472	317	920	884	1015	1274	1389	874	641	555	1066	518	559	710	588
ZKSCAN2	270	152	56	55	36	80	27	135	204	116	300	123	205	229	208	226	138	143	116	372
ZKSCAN3	10	30	33	11	39	12	7	53	103	111	62	112	36	15	23	31	7	27	16	15
ZKSCAN4	77	2	6	3	4	1	61	26	20	37	24	28	5	33	21	61	46	26	18	6
ZKSCAN5	270	167	134	78	58	153	358	180	215	192	239	245	166	154	184	242	81	143	199	266
ZKSCAN7	41	1	39	4	29	1	176	3	33	38	73	29	9	10	18	3	5	4	7	33
ZKSCAN8	267	266	217	122	101	147	212	386	223	336	485	452	202	157	97	185	76	269	147	96
ZMAT1	81	236	133	47	16	88	146	260	73	505	382	333	96	181	59	178	30	155	43	63
ZMAT2	2671	2177	663	695	408	904	821	1058	2623	1704	2618	1507	1888	1573	1859	2792	1120	1072	1651	2799
ZMAT3	3131	985	595	574	420	938	1121	1514	2474	1204	1721	1245	1106	1376	2007	1520	500	1010	974	1605
ZMAT4	171	37	7	56	9	30	52	43	288	96	81	155	54	69	206	109	37	59	88	95
ZMAT5	6	5	5	2	3	9	3	2	16	3	5	7	2	3	7	12	17	8	4	6
ZMIZ1	311	272	284	72	133	140	253	304	241	451	601	441	139	153	113	185	164	170	143	180
ZMIZ1-AS1	13	23	13	0	0	30	0	2	34	1	57	21	23	1	7	3	53	20	8	17
ZMIZ2	25	49	42	8	19	10	23	29	29	81	82	64	17	21	20	31	65	14	19	14
ZMPSTE24	995	96	206	111	110	387	147	416	1146	471	642	555	497	390	1017	913	164	419	463	490
ZMYM1	24	8	25	5	13	20	4	22	84	43	59	18	18	31	21	45	3	10	40	12
ZMYM2	2405	794	733	379	283	974	723	1027	2434	2029	1657	1830	1398	1411	1909	1885	501	1087	1459	1264
ZMYM3	187	218	101	57	36	47	82	141	193	299	267	214	195	106	131	187	220	108	66	99
ZMYM4	1558	408	547	313	373	557	889	1040	1466	1250	1284	1166	975	881	1174	1167	404	923	807	664
ZMYM5	372	136	225	35	23	117	82	141	240	119	270	164	181	146	207	327	136	121	208	74
ZMYM6	887	120	342	128	109	457	294	167	624	275	399	550	284	441	575	349	148	371	315	491
ZMYM6NB	12	34	101	10	21	1	29	30	10	12	63	39	22	2	5	15	3	18	19	9
ZMYND10	0	2	0	0	0	0	1	1	2	5	6	0	0	0	0	3	0	2	0	1
ZMYND11	882	732	797	134	244	445	668	851	688	889	866	818	486	572	442	740	451	572	416	645
ZMYND12	6	3	2	0	0	0	1	29	1	0	110	5	1	3	2	4	0	0	8	5
ZMYND15	0	1	1	0	0	0	5	3	2	0	1	1	2	0	0	8	0	0	0	0
ZMYND19	25	32	9	3	1	3	55	12	21	8	17	27	3	14	14	40	9	8	18	10
ZMYND8	406	413	223	151	96	286	347	296	506	444	399	350	380	454	352	517	322	249	254	398
ZNF10	24	24	32	16	8	0	19	63	39	75	59	85	41	32	38	59	41	35	23	21
ZNF100	46	4	83	44	25	119	33	59	98	100	37	42	61	53	90	70	28	85	20	10
ZNF101	54	74	7	12	5	56	17	62	17	65	45	36	18	40	17	78	11	34	21	4
ZNF106	1807	1377	1319	533	434	699	1375	1901	1738	2025	2184	1620	1601	1290	1602	1479	813	1101	915	1145
ZNF107	127	356	64	22	49	7	41	100	93	69	56	119	69	54	87	100	17	72	52	50
ZNF112	39	10	12	7	18	36	14	38	35	48	48	49	44	101	30	12	14	25	32	23
ZNF114	1	2	32	0	0	5	0	5	0	4	4	1	0	0	0	2	0	0	0	1
ZNF117	178	62	142	44	40	83	137	194	141	186	126	181	87	133	92	211	48	120	92	100
ZNF12	207	212	127	26	24	44	69	52	145	113	123	171	67	87	127	112	34	121	62	41
ZNF121	85	31	67	17	8	23	14	94	95	95	34	133	20	39	51	52	11	26	37	17
ZNF124	79	30	39	10	13	52	58	91	75	29	85	61	68	51	78	45	31	36	35	75
ZNF131	152	83	79	42	50	121	57	82	201	139	126	167	88	104	169	104	66	93	113	137
ZNF132	39	3	20	1	6	0	0	17	32	10	21	12	1	30	34	24	11	11	7	35
ZNF133	7	3	0	5	4	0	4	16	10	7	3	3	6	5	5	0	1	5	10	6
ZNF134	671	274	191	96	97	479	474	302	514	205	482	112	394	166	458	312	152	234	343	275
ZNF135	44	81	31	9	20	42	121	65	48	61	97	91	58	72	43	55	32	14	47	66
ZNF136	78	39	34	0	13	58	13	43	25	48	47	110	24	16	59	24	4	79	37	14
ZNF137P	13	5	2	1	1	21	19	9	0	5	1	7	19	29	26	4	7	13	7	7
ZNF138	517	120	39	77	60	64	97	232	556	168	223	207	202	308	374	334	64	187	352	336
ZNF14	10	12	21	2	17	2	35	18	22	12	28	28	10	24	20	28	1	11	9	0
ZNF140	31	10	63	9	10	3	30	114	62	54	41	17	29	18	37	35	16	15	29	25
ZNF141	83	63	40	17	20	91	20	39	68	19	87	86	56	33	76	60	18	67	58	38
ZNF142	32	23	12	15	12	23	53	60	44	115	145	20	35	31	46	39	40	21	29	43
ZNF143	114	22	71	37	37	67	39	67	134	155	67	61	34	69	82	69	15	84	40	16
ZNF146	487	269	189	103	102	141	203	536	360	629	481	312	297	384	296	263	81	247	228	264
ZNF148	847	317	285	169	140	302	286	507	885	389	502	444	505	584	611	574	269	499	529	591
ZNF154	37	58	61	10	29	75	175	47	96	80	131	109	48	102	51	75	24	62	53	22
ZNF155	43	9	38	2	8	0	6	65	10	24	84	11	11	25	31	5	23	9	6	20
ZNF157	2	0	0	0	0	0	0	0	8	18	0	8	0	5	1	0	5	3	0	8
ZNF16	19	2	27	3	2	0	4	3	5	14	5	27	5	3	3	27	10	2	1	3
ZNF160	460	272	252	119	73	53	155	242	300	373	446	179	246	149	165	314	69	178	215	190
ZNF165	15	0	5	3	2	1	2	10	29	2	7	0	0	8	19	16	0	8	6	1
ZNF169	4	1	0	3	1	0	0	2	3	1	17	15	3	3	2	20	1	0	0	8
ZNF17	22	12	24	16	6	15	4	26	4	22	9	55	7	16	13	23	36	15	33	6
ZNF174	44	41	13	9	13	22	12	21	107	35	85	57	12	34	44	37	17	21	31	35
ZNF175	139	81	129	60	40	50	85	178	215	207	258	261	165	128	146	242	56	141	160	65
ZNF177	31	24	12	5	12	9	20	20	41	52	69	128	20	37	17	46	7	52	21	6
ZNF18	25	37	46	13	25	25	65	17	38	36	43	74	29	85	32	51	5	61	37	59
ZNF180	21	22	4	1	2	37	2	15	36	41	22	23	17	21	13	11	2	24	14	6
ZNF181	361	90	69	49	24	105	86	184	352	135	160	127	188	106	176	173	65	114	228	196
ZNF182	65	17	18	13	3	9	38	25	84	34	87	30	17	21	70	61	61	60	39	7
ZNF184	106	74	116	65	28	168	122	151	188	218	258	203	129	98	135	76	13	97	72	36
ZNF185	3	15	3	2	7	4	18	49	14	63	43	5	2	10	14	13	5	3	1	0
ZNF189	666	218	148	199	107	328	295	373	817	239	350	233	295	348	537	456	139	291	588	357
ZNF19	11	10	40	3	0	11	0	2	13	34	0	6	1	2	6	2	1	23	14	2
ZNF192P1	1	2	5	1	0	4	13	7	15	6	10	2	0	14	0	4	21	14	1	0
ZNF195	404	78	129	63	85	189	141	170	457	214	340	354	199	187	308	291	109	156	264	195
ZNF197	385	222	121	83	46	116	201	219	392	237	330	415	176	222	272	215	83	194	188	160
ZNF197-AS1	0	0	0	0	0	0	1	0	0	2	0	1	45	0	0	0	0	0	0	0
ZNF2	28	16	31	13	16	14	48	0	27	27	13	46	4	13	48	20	18	7	40	72
ZNF20	3	4	4	0	1	6	0	4	5	21	15	8	8	1	28	11	1	13	13	5
ZNF200	44	42	10	15	15	11	6	29	85	50	72	71	26	43	41	45	26	30	61	150
ZNF202	27	38	77	5	23	15	12	13	41	64	52	50	40	8	50	45	15	13	15	9
ZNF204P	319	92	31	28	27	44	134	37	196	256	264	322	146	153	202	133	55	103	102	101
ZNF205	12	14	5	7	10	14	35	19	15	18	25	40	7	6	11	21	11	16	12	38
ZNF205-AS1	0	0	2	0	1	0	1	0	0	0	0	0	0	3	0	0	1	2	1	0
ZNF207	711	226	292	98	157	345	355	240	520	492	477	384	383	264	454	266	153	248	266	302
ZNF208	222	25	11	40	22	110	90	79	74	75	89	16	63	116	103	151	65	98	262	184
ZNF211	70	90	34	3	44	15	131	39	36	88	27	61	4	15	36	38	44	24	4	16
ZNF212	22	8	5	0	8	14	12	12	9	11	7	4	19	14	15	20	11	6	13	23
ZNF213	9	28	1	1	4	1	15	42	11	70	20	18	3	18	16	2	3	14	6	19
ZNF213-AS1	11	14	2	0	1	7	1	11	11	9	44	46	7	5	11	34	25	6	7	7
ZNF214	12	0	5	0	2	0	12	9	18	7	36	7	65	0	2	34	0	4	10	25
ZNF215	94	99	1	24	17	73	17	42	68	55	27	84	66	25	62	35	22	15	54	48
ZNF217	41	15	50	19	52	49	24	32	67	79	106	60	9	36	16	46	1	32	12	43
ZNF219	67	35	19	20	19	34	44	49	139	28	58	77	49	34	56	51	22	45	69	54
ZNF22	66	53	156	5	24	12	26	66	12	58	142	80	48	6	34	34	20	30	10	3
ZNF221	45	37	41	1	13	122	1	68	62	45	43	31	19	28	49	73	93	10	28	84
ZNF222	64	1	15	8	6	1	2	17	51	33	7	28	14	29	59	24	1	12	19	28
ZNF223	69	8	14	4	9	4	6	15	77	53	67	102	50	26	108	72	15	33	23	52
ZNF224	97	89	87	43	11	31	40	86	44	180	83	147	43	37	63	91	36	37	15	61
ZNF225	43	41	86	11	19	0	10	106	75	187	86	36	1	21	61	90	26	12	48	13
ZNF226	417	312	184	153	113	323	280	372	648	558	443	572	275	186	311	448	89	223	344	340
ZNF227	165	19	59	29	27	53	100	94	155	137	103	121	51	105	78	66	74	73	60	61
ZNF229	122	10	54	1	14	25	11	51	102	36	79	20	46	32	49	40	16	43	48	13
ZNF23	121	29	57	18	15	14	57	115	98	57	82	84	49	24	76	49	47	63	50	39
ZNF230	14	3	12	1	4	15	0	12	31	14	19	4	28	14	45	1	22	6	5	3
ZNF232	8	5	5	10	2	46	5	16	13	25	22	27	11	3	12	17	11	9	7	5
ZNF233	56	4	11	5	3	129	19	16	64	28	57	3	74	44	49	106	16	8	33	41
ZNF234	82	23	10	26	16	71	38	61	170	21	123	62	77	43	40	75	41	36	29	6
ZNF235	19	4	29	4	21	4	3	33	9	38	13	11	76	40	25	18	13	20	6	8
ZNF236	138	64	86	7	17	30	185	36	30	67	67	126	43	45	56	65	27	40	38	43
ZNF239	15	13	4	6	1	2	8	6	40	5	9	17	25	7	8	3	1	29	8	0
ZNF24	1000	640	680	206	231	452	856	1022	1187	993	1322	1081	606	799	732	772	287	606	606	557
ZNF248	497	81	43	49	63	153	87	109	282	202	138	152	151	218	313	210	146	83	129	171
ZNF25	853	162	136	148	159	159	114	475	862	414	511	314	418	689	627	585	161	246	451	356
ZNF250	101	23	29	12	4	24	22	36	35	52	70	32	16	47	38	61	70	40	13	31
ZNF251	18	5	41	10	6	21	14	19	45	58	24	56	30	13	19	9	15	29	18	31
ZNF252P	174	82	24	22	24	17	64	107	96	85	132	143	64	89	126	158	52	120	100	165
ZNF252P-AS1	12	0	12	0	1	0	0	1	0	3	0	0	0	0	1	3	2	0	0	5
ZNF253	97	60	34	35	26	127	37	152	117	143	164	37	92	53	96	133	20	73	41	48
ZNF254	421	73	126	44	66	33	92	293	332	260	248	240	133	168	164	288	46	191	162	119
ZNF256	54	4	47	8	9	0	0	11	34	17	51	18	19	54	82	11	1	62	23	15
ZNF257	12	0	0	0	2	3	1	1	9	82	6	34	4	14	1	33	3	1	14	3
ZNF26	12	7	5	4	0	20	0	3	1	32	2	22	9	1	10	10	4	10	11	0
ZNF260	216	128	46	48	42	136	61	131	118	133	225	103	94	99	171	202	70	91	96	75
ZNF263	29	24	21	3	8	17	10	9	46	47	27	17	25	13	29	22	27	16	25	10
ZNF264	741	234	459	137	131	136	196	361	485	370	619	708	281	458	277	460	202	261	295	255
ZNF266	23	121	99	14	7	59	2	20	120	56	97	42	50	20	132	76	15	21	57	181
ZNF267	68	90	70	5	34	12	28	56	26	60	100	129	35	38	57	22	8	41	31	21
ZNF268	71	31	52	2	31	23	34	80	53	32	46	105	36	79	29	24	5	47	33	20
ZNF271P	453	181	175	90	95	251	165	316	579	203	329	216	362	364	495	438	86	137	265	324
ZNF273	300	108	40	55	36	67	58	107	267	129	128	138	91	396	189	244	74	212	220	124
ZNF274	50	22	20	21	6	25	14	39	72	49	54	16	24	13	53	11	5	16	24	30
ZNF275	57	223	197	36	31	126	206	253	188	43	303	359	145	107	113	47	33	148	64	62
ZNF276	51	48	16	23	8	11	95	39	47	47	49	102	36	27	36	101	22	20	43	91
ZNF277	125	48	39	30	37	35	27	57	124	56	81	84	18	76	120	123	12	22	78	80
ZNF28	243	40	73	69	41	284	100	99	263	171	266	180	104	94	181	172	78	85	156	158
ZNF280A	1	0	0	0	0	0	0	9	1	0	0	0	0	0	2	0	0	0	5	0
ZNF280B	1024	217	111	172	104	187	193	451	939	404	682	740	526	595	976	742	264	276	609	425
ZNF280C	135	19	21	12	12	75	57	51	163	70	54	42	50	38	71	50	56	37	34	68
ZNF280D	424	459	183	64	71	191	143	349	451	442	617	547	136	349	337	306	100	278	236	372
ZNF281	286	321	88	80	74	163	148	164	529	111	311	378	185	235	300	233	113	124	175	157
ZNF282	0	9	1	2	3	0	0	4	3	0	3	0	0	1	2	8	10	2	0	1
ZNF283	32	0	12	2	3	6	1	7	29	75	31	17	11	18	26	11	13	14	26	2
ZNF284	17	34	22	5	3	1	26	18	65	6	1	4	17	18	5	10	14	12	3	13
ZNF285	33	6	42	26	6	2	27	62	43	64	71	31	17	51	18	58	26	7	39	5
ZNF286A	94	26	14	24	18	94	2	54	116	56	84	69	16	45	64	75	56	49	41	35
ZNF286B	7	6	9	0	3	4	2	4	12	3	17	1	14	1	25	52	16	7	10	31
ZNF287	113	46	11	18	9	41	41	124	127	32	117	41	60	48	96	75	30	60	96	73
ZNF292	1058	739	1087	220	256	429	405	609	655	1146	1543	883	470	585	652	706	193	480	365	569
ZNF295-AS1	3	0	1	1	0	0	0	1	0	0	3	1	0	0	1	0	0	1	0	0
ZNF296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF3	45	37	69	16	9	105	88	90	43	71	195	38	14	37	35	89	36	10	29	25
ZNF30	111	178	6	44	15	27	129	53	104	68	27	73	24	143	69	73	16	36	108	78
ZNF30-AS1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZNF300	59	10	6	6	1	39	0	41	50	10	43	78	47	11	10	19	18	29	26	13
ZNF300P1	1	0	3	4	4	0	3	8	0	0	15	29	3	0	0	1	1	0	0	0
ZNF302	415	194	84	172	89	189	110	359	622	262	424	302	241	233	459	332	74	155	244	321
ZNF304	54	81	31	8	7	11	10	32	31	53	72	25	25	33	42	47	16	31	10	42
ZNF311	1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
ZNF316	42	18	17	16	9	16	26	25	23	50	13	60	31	35	7	21	37	19	18	19
ZNF317	79	27	34	22	19	21	23	98	140	46	122	17	40	22	74	47	67	32	102	108
ZNF318	969	390	351	277	264	282	276	449	724	515	586	564	658	615	648	942	357	376	493	971
ZNF319	1	2	2	1	3	1	1	6	0	3	3	2	13	3	2	4	1	0	5	6
ZNF32	26	10	1	6	9	18	10	18	45	36	25	30	37	46	44	22	9	29	19	26
ZNF32-AS1	3	2	7	2	3	3	3	14	8	5	30	7	3	0	8	2	0	2	1	1
ZNF32-AS2	2	5	1	0	2	0	0	3	5	1	1	6	12	4	2	1	2	8	2	1
ZNF32-AS3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
ZNF320	46	78	19	29	27	71	34	63	90	26	106	62	113	61	43	68	29	34	77	77
ZNF321P	1	3	1	0	0	0	0	0	0	0	6	0	0	0	0	3	0	1	0	0
ZNF322	465	170	164	105	67	147	270	192	507	202	408	160	210	275	287	217	80	209	214	237
ZNF324	7	0	13	0	3	5	7	6	6	1	6	7	1	1	3	5	4	6	8	1
ZNF324B	5	0	1	0	1	0	1	39	0	32	1	3	2	2	1	0	4	1	10	1
ZNF326	576	521	306	205	285	382	476	774	920	650	946	505	622	459	649	574	279	615	644	787
ZNF329	218	62	72	26	17	39	28	45	162	138	104	61	64	102	110	172	21	71	70	44
ZNF330	573	218	133	48	94	137	205	254	392	193	310	180	333	153	288	281	60	173	237	188
ZNF331	240	223	238	38	56	146	108	280	209	312	211	239	75	152	132	219	42	109	126	246
ZNF333	18	35	34	17	15	12	5	47	9	50	51	67	9	13	22	18	22	31	14	38
ZNF334	87	14	37	3	17	17	23	26	81	47	64	92	33	37	47	27	14	25	23	46
ZNF335	6	3	13	0	6	3	3	7	8	25	11	7	4	12	15	5	15	7	3	7
ZNF337	110	119	172	10	23	50	62	148	162	270	161	182	142	64	66	79	28	66	52	97
ZNF337-AS1	3	17	23	2	3	5	5	18	44	41	24	24	8	65	13	15	0	14	10	14
ZNF33A	1097	540	281	168	174	327	461	642	994	796	988	951	360	659	830	719	147	410	569	566
ZNF33B	470	393	44	147	154	307	262	303	609	393	496	658	329	420	518	371	223	221	411	335
ZNF33BP1	3	0	0	0	1	1	0	2	0	0	1	0	5	3	0	1	0	0	0	0
ZNF34	17	28	8	0	1	1	12	25	20	38	12	11	2	11	16	4	8	10	2	1
ZNF341	4	1	1	2	1	4	0	3	2	1	13	3	1	4	1	24	4	1	2	8
ZNF341-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF343	71	24	83	16	23	41	14	92	65	76	59	14	19	42	26	38	63	47	37	17
ZNF345	4	12	0	10	10	2	21	6	4	3	12	13	6	7	13	5	29	17	5	8
ZNF346	267	67	52	29	15	48	46	99	78	118	208	191	162	54	109	141	130	87	161	200
ZNF347	48	78	16	21	28	52	47	71	25	113	44	139	32	50	37	64	22	77	36	14
ZNF35	128	25	42	14	17	94	6	77	119	30	103	32	18	60	117	34	26	83	52	51
ZNF350	19	42	55	7	5	61	18	63	58	40	52	64	22	10	24	49	4	31	27	19
ZNF350-AS1	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	4	0	6	0	0
ZNF354A	75	22	42	29	25	24	38	66	122	59	92	67	98	66	98	81	20	33	61	80
ZNF354B	71	66	64	3	26	9	16	48	86	78	62	34	17	69	42	21	37	18	39	11
ZNF354C	154	57	96	30	26	9	51	159	77	171	116	49	40	56	87	48	100	75	35	40
ZNF358	11	13	11	0	4	7	7	7	7	28	27	50	15	4	9	3	22	7	6	18
ZNF362	25	57	52	11	21	28	79	85	50	75	180	194	76	42	47	81	40	64	36	94
ZNF365	923	248	139	90	70	397	227	271	701	222	445	374	306	329	611	426	215	292	334	333
ZNF366	2	7	20	1	9	65	22	13	11	31	18	0	71	7	9	0	11	3	1	6
ZNF367	38	1	4	3	3	9	0	48	39	13	14	21	4	20	16	25	7	24	15	9
ZNF37A	869	597	333	223	126	316	422	613	963	871	806	585	674	607	689	840	261	379	606	520
ZNF37BP	900	202	240	212	118	174	366	545	843	627	971	510	543	479	795	614	156	293	434	255
ZNF382	98	10	54	6	11	58	68	49	38	36	82	32	8	85	89	78	11	80	52	105
ZNF383	89	14	17	11	17	0	3	10	38	24	52	12	28	36	39	50	11	16	33	29
ZNF384	146	18	114	38	70	188	138	153	141	130	193	282	112	144	93	69	65	74	77	51
ZNF385A	28	55	27	13	10	18	31	20	34	68	46	150	30	23	14	31	26	16	21	22
ZNF385B	152	18	10	45	28	21	33	55	73	41	53	42	53	61	152	132	28	53	49	70
ZNF385C	0	15	4	4	4	2	19	19	1	1	2	16	2	3	1	4	4	1	2	13
ZNF385D	229	282	26	20	14	100	28	61	146	117	167	79	76	78	103	58	30	48	89	27
ZNF385D-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ZNF385D-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF391	102	91	16	57	24	100	73	159	114	179	251	177	113	74	105	85	55	40	135	44
ZNF394	22	12	41	8	12	5	51	7	31	22	25	21	27	5	49	28	17	13	8	26
ZNF395	7	118	94	1	6	22	33	40	4	13	44	45	4	13	2	31	10	27	1	32
ZNF396	15	0	8	4	0	21	0	24	17	32	19	54	12	21	9	9	21	6	7	22
ZNF397	56	34	184	23	27	43	95	46	55	35	157	65	10	40	29	63	16	34	24	10
ZNF398	40	65	23	14	11	20	11	45	59	95	135	90	33	36	25	51	39	72	31	68
ZNF404	99	16	11	6	14	22	4	31	55	93	28	47	24	38	59	33	11	50	31	53
ZNF407	247	266	178	64	36	224	265	159	293	151	200	300	111	281	254	264	145	173	163	211
ZNF408	4	15	4	0	4	2	3	2	12	5	8	3	0	0	5	9	1	5	2	5
ZNF41	237	90	89	41	64	53	82	184	312	71	249	69	105	142	220	235	72	71	103	119
ZNF410	238	34	97	43	33	85	38	78	234	108	148	183	59	88	116	62	72	101	58	80
ZNF414	24	33	10	3	18	1	14	16	17	21	28	48	8	14	17	27	6	16	15	44
ZNF415	417	164	129	68	88	131	205	302	297	193	331	294	155	179	260	267	39	147	256	282
ZNF416	6	0	11	4	0	15	0	38	68	0	28	7	2	3	6	35	7	1	22	2
ZNF417	23	80	44	5	3	12	18	19	34	77	119	26	8	14	5	21	19	29	10	25
ZNF418	28	63	45	8	10	46	44	25	34	38	51	59	14	25	59	56	27	51	31	34
ZNF419	57	75	27	6	4	10	99	42	61	26	56	87	23	20	49	40	2	17	30	59
ZNF420	94	44	9	27	3	155	9	57	76	65	44	15	38	40	43	45	6	21	48	44
ZNF423	74	57	142	48	28	63	83	134	153	83	218	185	80	107	98	151	40	82	93	192
ZNF425	93	46	27	21	14	50	15	46	39	152	30	21	68	38	28	8	8	25	15	19
ZNF426	310	170	195	89	50	128	136	129	335	158	413	141	136	259	228	287	101	220	172	191
ZNF428	371	1096	196	100	150	221	173	430	544	876	722	574	262	166	328	248	115	262	396	767
ZNF429	57	7	44	16	5	16	22	52	72	56	39	53	27	28	71	13	33	35	57	41
ZNF43	217	52	34	6	35	22	133	109	283	168	139	265	121	142	180	135	18	118	125	80
ZNF430	97	47	20	13	9	5	16	101	67	36	44	32	27	99	70	68	9	96	50	45
ZNF431	61	29	60	16	20	12	21	60	59	56	67	32	74	45	54	54	37	23	48	50
ZNF432	44	38	73	15	7	17	12	27	38	26	64	56	17	14	53	90	87	31	38	58
ZNF433	22	8	6	6	5	6	2	8	17	6	20	20	4	6	18	8	4	0	6	22
ZNF436	200	68	240	70	44	141	138	171	158	127	177	192	125	142	196	127	131	123	247	97
ZNF436-AS1	3	8	15	0	6	22	25	17	0	6	30	24	11	3	13	15	1	3	11	2
ZNF438	31	18	74	16	10	68	4	30	64	8	36	53	19	18	22	14	26	27	40	44
ZNF439	90	55	14	21	26	53	64	64	40	50	83	49	33	17	52	34	7	10	19	18
ZNF44	22	28	32	2	19	17	102	26	29	56	40	56	41	38	22	34	39	33	46	15
ZNF440	15	2	0	4	15	1	3	17	61	54	23	10	11	13	40	38	3	40	52	19
ZNF441	271	152	56	27	24	100	31	79	224	139	134	122	53	117	234	271	52	93	179	162
ZNF442	101	4	31	0	3	13	2	31	12	87	38	2	2	32	9	6	28	2	10	28
ZNF443	1	1	33	0	1	0	0	11	17	4	10	6	4	12	1	16	0	4	5	0
ZNF444	9	16	3	11	6	3	27	5	6	10	16	39	8	12	6	2	12	4	2	24
ZNF445	244	150	224	69	57	124	152	231	214	313	167	352	246	166	138	208	222	173	129	229
ZNF446	1	1	3	2	0	0	0	7	0	4	0	2	2	0	0	0	4	3	1	0
ZNF449	119	89	58	14	6	69	63	62	95	63	71	252	19	98	47	61	71	25	42	49
ZNF45	95	11	42	19	2	4	50	57	19	34	34	79	59	38	50	48	13	59	25	39
ZNF451	1902	736	459	361	270	541	788	1130	1572	1065	1559	1048	863	1233	1283	1431	477	811	1296	1324
ZNF454	26	17	8	5	0	26	0	6	44	31	18	6	40	54	25	87	4	20	53	35
ZNF460	584	349	290	84	217	449	496	570	424	501	499	372	315	415	294	423	236	289	239	244
ZNF461	68	31	35	21	6	4	61	103	74	59	111	128	21	57	30	55	39	53	35	83
ZNF462	503	362	425	157	213	317	203	401	564	583	855	539	348	521	453	914	530	507	396	457
